label,recall,precision
human,0.0,0.0
human,7.019021548396153e-05,0.5
human,0.00014038043096792306,0.6666666666666666
human,0.0002105706464518846,0.75
human,0.0002807608619358461,0.8
human,0.00035095107741980766,0.8333333333333334
human,0.0004211412929037692,0.8571428571428571
human,0.0004913315083877308,0.875
human,0.0005615217238716922,0.8888888888888888
human,0.0006317119393556538,0.9
human,0.0007019021548396153,0.9090909090909091
human,0.0007720923703235769,0.9166666666666666
human,0.0008422825858075384,0.9230769230769231
human,0.0009124728012915,0.9285714285714286
human,0.0009826630167754616,0.9333333333333333
human,0.0010528532322594231,0.9375
human,0.0011230434477433845,0.9411764705882353
human,0.0011230434477433845,0.8888888888888888
human,0.001193233663227346,0.8947368421052632
human,0.0012634238787113076,0.9
human,0.001333614094195269,0.9047619047619048
human,0.0014038043096792306,0.9090909090909091
human,0.0014739945251631922,0.9130434782608695
human,0.0015441847406471537,0.9166666666666666
human,0.0016143749561311153,0.92
human,0.0016845651716150768,0.9230769230769231
human,0.0017547553870990384,0.9259259259259259
human,0.001824945602583,0.9285714285714286
human,0.0018951358180669614,0.9310344827586207
human,0.001965326033550923,0.9333333333333333
human,0.0020355162490348845,0.9354838709677419
human,0.0021057064645188463,0.9375
human,0.0021758966800028076,0.9393939393939394
human,0.002246086895486769,0.9411764705882353
human,0.0023162771109707307,0.9428571428571428
human,0.002386467326454692,0.9444444444444444
human,0.002456657541938654,0.9459459459459459
human,0.002456657541938654,0.9210526315789473
human,0.002526847757422615,0.9230769230769231
human,0.002597037972906577,0.925
human,0.002667228188390538,0.926829268292683
human,0.0027374184038745,0.9285714285714286
human,0.0028076086193584613,0.9302325581395349
human,0.002877798834842423,0.9318181818181818
human,0.0029479890503263844,0.9333333333333333
human,0.003018179265810346,0.9347826086956522
human,0.0030883694812943075,0.9361702127659575
human,0.003158559696778269,0.9375
human,0.0032287499122622305,0.9387755102040817
human,0.0032989401277461923,0.94
human,0.0033691303432301536,0.9411764705882353
human,0.0034393205587141154,0.9423076923076923
human,0.0035095107741980767,0.9433962264150944
human,0.0035797009896820385,0.9444444444444444
human,0.003649891205166,0.9454545454545454
human,0.0037200814206499616,0.9464285714285714
human,0.0037200814206499616,0.9298245614035088
human,0.0037200814206499616,0.9137931034482759
human,0.003790271636133923,0.9152542372881356
human,0.0038604618516178846,0.9166666666666666
human,0.003930652067101846,0.9180327868852459
human,0.004000842282585807,0.9193548387096774
human,0.004071032498069769,0.9206349206349206
human,0.004141222713553731,0.921875
human,0.004211412929037693,0.9230769230769231
human,0.004211412929037693,0.9090909090909091
human,0.0042816031445216535,0.9104477611940298
human,0.004351793360005615,0.9117647058823529
human,0.004421983575489577,0.9130434782608695
human,0.004492173790973538,0.9142857142857143
human,0.0045623640064575,0.9154929577464789
human,0.004632554221941461,0.9166666666666666
human,0.004702744437425423,0.9178082191780822
human,0.004772934652909384,0.918918918918919
human,0.004772934652909384,0.9066666666666666
human,0.004772934652909384,0.8947368421052632
human,0.004843124868393346,0.8961038961038961
human,0.004913315083877308,0.8974358974358975
human,0.004983505299361269,0.8987341772151899
human,0.00505369551484523,0.9
human,0.005123885730329192,0.9012345679012346
human,0.005194075945813154,0.9024390243902439
human,0.0052642661612971155,0.9036144578313253
human,0.005334456376781076,0.9047619047619048
human,0.005404646592265038,0.9058823529411765
human,0.005474836807749,0.9069767441860465
human,0.005545027023232962,0.9080459770114943
human,0.005615217238716923,0.9090909090909091
human,0.005685407454200884,0.9101123595505618
human,0.005755597669684846,0.9111111111111111
human,0.005825787885168808,0.9120879120879121
human,0.005895978100652769,0.9130434782608695
human,0.0059661683161367305,0.9139784946236559
human,0.006036358531620692,0.9148936170212766
human,0.006106548747104654,0.9157894736842105
human,0.006176738962588615,0.9166666666666666
human,0.006246929178072577,0.9175257731958762
human,0.006317119393556538,0.9183673469387755
human,0.006387309609040499,0.9191919191919192
human,0.006457499824524461,0.92
human,0.006527690040008423,0.9207920792079208
human,0.006597880255492385,0.9215686274509803
human,0.0066680704709763455,0.9223300970873787
human,0.0066680704709763455,0.9134615384615384
human,0.006738260686460307,0.9142857142857143
human,0.006808450901944269,0.9150943396226415
